,COUNTRY,GLOBAL HEALTH INDEX 2024,LEGATUM PROSPERITY INDEX HEALTH RANKINGS 2023,GLOBAL HEALTH SECURITY INDEX 2021,MONEY UK HEALTHIEST RANK 2021,BLOOMBERG GLOBAL HEALTH INDEX 2021
0,Singapore,95.3,1st,57.4,9th,89.3
1,Japan,95.1,2nd,60.5,4th,91.4
2,South Korea,94.3,3rd,65.4,,85.4
3,Taiwan,94.2,4th,,,
4,Israel,94.2,6th,47.2,,88.2
5,Norway,93.6,7th,60.2,8th,89.1
6,Iceland,93.5,8th,48.5,5th,91.4
7,Sweden,93.4,9th,64.9,7th,90.2
8,Switzerland,93.1,10th,58.8,3rd,90.9
9,Netherlands,92.8,11th,64.7,,85.9
10,Luxembourg,92.6,12th,48.4,,87.4
11,Germany,92.5,13th,65.5,18th,83.1
12,Hong Kong,92.4,14th,,,
13,Finland,91.8,15th,70.9,12th,85.9
14,Italy,91.5,17th,51.9,6th,91.6
15,Denmark,91.5,16th,64.4,16th,82.7
16,Belgium,91.4,18th,59.3,,80.5
17,Malta,91.4,19th,40.2,,81.7
18,France,91.2,20th,61.9,14th,86.9
19,Austria,91,22nd,56.9,10th,86.3
20,Australia,90.9,21st,71.1,,89.8
21,Ireland,90.8,23rd,55.3,13th,84.1
22,Slovenia,90.5,24th,67.8,11th,82.7
23,New Zealand,90.3,25th,62.5,,
24,Spain,90,26th,60.9,1st,92.8
25,Czechia,90,28th,52.8,,77.6
26,Costa Rica,89.4,30th,40.8,,73.2
27,Cyprus,89.4,29th,41.9,19th,83.6
28,Canada,89.3,32nd,69.8,,
29,United Arab Emirates,89.1,33rd,39.6,,67.1
30,United Kingdom,88.8,34th,67.2,20th,84.3
31,Portugal,88.8,40th,54.7,2nd,83.1
32,Greece,88.4,41st,51.5,,82.3
33,Kuwait,88.3,43rd,36.8,,
34,Chile,88,51st,56.2,,73.2
35,Croatia,87.9,53rd,48.8,,73.4
36,Kazakhstan,87.7,77th,46.1,,
37,Argentina,87.5,60th,54.4,,61.2
38,Bahrain,86.8,50th,36.6,,72.3
39,Slovakia,86.6,45th,54.4,,
40,Hungary,86.4,46th,54.4,,64.4
41,Poland,86.2,48th,55.7,17th,70.3
42,Uruguay,85.9,35th,40.3,,65.7
43,Estonia,85.8,37th,55.5,15th,73.3
44,Qatar,85.6,38th,48.7,,72
45,Seychelles,84.8,39th,31.8,,
46,Malaysia,84.2,42nd,56.4,,
47,Belarus,83.4,62nd,43.9,,
48,Panama,83.1,57th,53.5,,64
49,Bosnia and Herzegovina,83.1,95th,35.4,,69.7
50,Macau,83.1,,,,
51,Brazil,83,83rd,51.2,,
52,Iran,82.7,58th,36.5,,
53,Latvia,82.5,59th,61.9,,
54,Turkey,82.4,63rd,50,,62.8
55,Jordan,82.3,100th,42.8,,
56,Lithuania,82.3,61st,59.5,,
57,Moldova,82.1,93rd,41,,
58,Trinidad and Tobago,81.8,64th,36.8,,
59,Bulgaria,81.5,65th,59.9,,
60,Azerbaijan,81.4,85th,34.7,,
61,Turkmenistan,81.1,54th,31.9,,
62,Oman,81,55th,39.1,,64.1
63,Russia,80.2,84th,49.1,,
64,Thailand,79.7,31st,68.2,,
65,United States,79.5,69th,75.9,,73
66,Algeria,79.3,70th,26.2,,
67,Jamaica,79,67th,31.8,,
68,Suriname,78.6,123rd,35,,
69,Romania,78.5,72nd,45.7,,
70,Tunisia,78,79th,31.5,,
71,North Macedonia,77.6,74th,42.2,,
72,Ukraine,77.5,101st,38.9,,
73,Tajikistan,77.3,75th,29.3,,
74,Saudi Arabia,77.2,56th,44.9,,
75,Armenia,77.1,68th,61.8,,
76,Fiji,76.9,,25.8,,
77,Brunei,76.9,,43.5,,68
78,Saint Lucia,76,,34.7,,
79,Grenada,75.8,,26.7,,
80,Saint Vincent and the Grenadines,75.4,,33.5,,
81,Antigua and Barbuda,75.2,,30,,
82,Andorra,75.2,,34.7,,
83,Dominica,74.8,,26.4,,
84,Saint Kitts and Nevis,74.7,,31.7,,
85,Liechtenstein,74.6,,46.4,,
86,Monaco,74.5,,33.3,,
87,Cuba,74.2,27th,30.5,,74.7
88,Nicaragua,73.5,78th,36.3,,
89,Albania,73.2,66th,45,,68
90,Serbia,73,80th,45,,61
91,Mauritius,72.5,81st,39.7,,
92,Paraguay,72.3,88th,40.3,,
93,Lebanon,71.6,102nd,33.4,,70.5
94,Kyrgyzstan,71.3,76th,42.4,,
95,Guyana,71.2,120th,30.8,,
96,Mexico,70.5,71st,57,,62.1
97,Colombia,70.1,36th,53.2,,
98,Dominican Republic,70.1,89th,34.5,,
99,Georgia,70,90th,52.6,,
100,El Salvador,69.8,98th,40.8,,
101,Belize,69.3,91st,29.7,,
102,Vietnam,68.9,44th,42.9,,
103,Cambodia,68.9,92nd,31.1,,
104,Morocco,68.8,86th,33.6,,
105,Ecuador,68.5,82nd,50.8,,
106,Venezuela,68.2,97th,20.9,,
107,Indonesia,68,87th,50.4,,
108,Peru,68,52nd,54.9,,
109,Cape Verde,67.8,73rd,34.1,,
110,Bolivia,67,113th,29.9,,
111,South Africa,66.4,129th,45.8,,
112,Montenegro,66.3,103rd,44.1,,69.7
113,Uzbekistan,65.9,49th,39,,
114,Sri Lanka,65.3,47th,34.1,,
115,Libya,64.9,105th,25.3,,
116,Bangladesh,64.8,106th,35.5,,
117,Mongolia,64.7,110th,41,,
118,Egypt,64.6,107th,28,,
119,Syria,64.2,108th,16.7,,
120,Myanmar,64,109th,38.3,,
121,Philippines,63.9,96th,45.7,,
122,Honduras,63.9,99th,26.2,,
123,Laos,63.9,111th,34.8,,
124,Sao Tome and Principe,63.4,94th,26.6,,
125,Guatemala,63,104th,29.1,,
126,Botswana,63,131st,33.6,,
127,Ghana,62.9,119th,34.3,,
128,Iraq,62.8,115th,24,,
129,Senegal,62.8,117th,32.8,,
130,Malawi,62.7,121st,28.5,,
131,Namibia,62.4,125th,30.3,,
132,Ethiopia,61.8,122nd,37.8,,
133,Nepal,61.6,118th,34,,
134,Pakistan,61.5,124th,30.4,,
135,India,61.3,112th,42.8,,
136,Djibouti,60.6,126th,25.2,,
137,Sudan,60.5,127th,28.3,,
138,Tanzania,60.2,128th,31.3,,
139,Comoros,60,130th,24.9,,
140,Kenya,59.8,114th,38.8,,
141,Burkina Faso,59.5,132nd,29.8,,
142,Uganda,59.4,133rd,36.5,,
143,Burundi,58.6,134th,22.1,,
144,Eritrea,58.3,135th,21.4,,
145,Yemen,57.9,136th,16.1,,
146,Zambia,57.7,137th,26.5,,
147,Mauritania,56.8,138th,26.2,,
148,Gambia,56.5,139th,28.7,,
149,Gabon,56.1,140th,21.8,,
150,Zimbabwe,55.7,141st,32.4,,
151,Togo,55.5,142nd,27.8,,
152,Niger,55.3,143rd,28.7,,
153,Mali,55.1,144th,29,,
154,Madagascar,54.9,145th,30.4,,
155,Republic of the Congo,54.7,146th,26.3,,
156,Benin,54.6,147th,25.4,,
157,Micronesia,54.5,,28.5,,
158,Vanuatu,54.2,,25.9,,
159,Nauru,54.2,,18,,
160,Palau,54,,25.5,,
161,Palestine,53.3,,,,
162,Samoa,52.6,,28.8,,
163,San Marino,52.1,,32.9,,
164,Solomon Islands,51.3,,23.3,,
165,Tonga,51.3,,26.4,,
166,Tuvalu,51.2,,20,,
167,Rwanda,50.9,116th,33.1,,
168,Haiti,50.8,148th,30.4,,
169,Papua New Guinea,50.6,149th,25,,
170,Mozambique,50.3,150th,30.4,,
171,Ivory Coast,50.3,151st,31.2,,
172,Cameroon,50,152nd,28.6,,85.7
173,Afghanistan,49.6,153rd,28.8,,
174,DR Congo,49.5,154th,26.1,,
175,Kiribati,49.1,,26.2,,
176,Equatorial Guinea,48.5,156th,17.4,,
177,Nigeria,48.2,157th,38,,
178,Angola,47.9,158th,29.1,,
179,Guinea,47.6,159th,26.8,,
180,Liberia,47.5,160th,35.7,,
181,Eswatini,47.4,161st,29.3,,
182,Maldives,47.2,,32,,71
183,Timor-Leste,47.1,,27.8,,
184,Bhutan,47.1,,39.8,,
185,North Korea,46.7,,16.1,,
186,Bahamas,46.6,,30.1,,
187,Barbados,46.6,,34.9,,
188,China,46.3,5th,47.5,,62.5
189,Sierra Leone,46.3,162nd,32.7,,
190,Somalia,46.2,163rd,16,,
191,Lesotho,46,164th,30.9,,
192,Chad,45.7,165th,23.9,,
193,South Sudan,45.4,166th,,,
194,Central African Republic,45.3,167th,18.6,,
195,Guinea-Bissau,,155th,,,
196,Marshall Islands,,,24.6,,
197,Cook Islands,,,23.9,,
198,Niue,,,20.1,,
